Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
andgein/russian-doll,gemini-3.1-pro-preview,,1,"2026-04-15 17:16:55",990,,,
andgein/russian-doll,gemini-3.1-pro-preview,"Adaptive Learning",7,"2026-04-15 17:16:55",990,,,
andgein/russian-doll,claude-opus-4-6-default,,1,"2026-04-15 18:46:38",983.5,,,
andgein/russian-doll,claude-opus-4-6-default,"Adaptive Learning",7,"2026-04-15 18:46:38",983.5,,,
andgein/russian-doll,claude-sonnet-4-6-default,,1,"2026-04-15 23:40:19",980.2,,,
andgein/russian-doll,claude-sonnet-4-6-default,"Adaptive Learning",7,"2026-04-15 23:40:19",980.2,,,
andgein/russian-doll,gpt-5.4-2026-03-05,,1,"2026-04-15 22:24:24",574.1666666666666,,,
andgein/russian-doll,gpt-5.4-2026-03-05,"Adaptive Learning",7,"2026-04-15 22:24:24",574.1666666666666,,,
andgein/russian-doll,glm-5,,1,"2026-04-15 22:24:05",339.5,,,
andgein/russian-doll,glm-5,"Adaptive Learning",7,"2026-04-15 22:24:05",339.5,,,
andgein/russian-doll,gemini-3-flash-preview,,1,"2026-04-15 11:39:29",262.3333333333333,,,
andgein/russian-doll,gemini-3-flash-preview,"Adaptive Learning",7,"2026-04-15 11:39:29",262.3333333333333,,,
andgein/russian-doll,gemma-4-31b-it,,1,"2026-04-15 11:39:24",247.33333333333334,,,
andgein/russian-doll,gemma-4-31b-it,"Adaptive Learning",7,"2026-04-15 11:39:24",247.33333333333334,,,
andgein/russian-doll,claude-haiku-4-5-20251001,,1,"2026-04-15 16:26:38",244.66666666666666,,,
andgein/russian-doll,claude-haiku-4-5-20251001,"Adaptive Learning",7,"2026-04-15 16:26:38",244.66666666666666,,,
andgein/russian-doll,deepseek-v3.2,,1,"2026-04-15 15:18:57",73,,,
andgein/russian-doll,deepseek-v3.2,"Adaptive Learning",7,"2026-04-15 15:18:57",73,,,
andgein/russian-doll,gemini-2.5-flash,,1,"2026-04-15 10:33:03",58,,,
andgein/russian-doll,gemini-2.5-flash,"Adaptive Learning",7,"2026-04-15 10:33:03",58,,,
andgein/russian-doll,gpt-oss-120b,,1,"2026-04-15 15:19:02",0,,,
andgein/russian-doll,gpt-oss-120b,"Adaptive Learning",7,"2026-04-15 15:19:02",0,,,
andgein/russian-doll,gemini-3.1-flash-lite-preview,,1,"2026-04-15 11:39:26",0,,,
andgein/russian-doll,gemini-3.1-flash-lite-preview,"Adaptive Learning",7,"2026-04-15 11:39:26",0,,,
andgein/russian-doll,gpt-5.4-mini-2026-03-17,,1,"2026-04-15 13:56:18",0,,,
andgein/russian-doll,gpt-5.4-mini-2026-03-17,"Adaptive Learning",7,"2026-04-15 13:56:18",0,,,
