started_at,model,mode,terminal,solved,iterations,output_tokens,input_tokens,input_uncached_tokens
2026-04-14T19:04:04,gemini-3-flash-preview,adaptive-learning,cipher,True,18,12443,49054,29275
2026-04-14T21:14:12,gemini-3-flash-preview,adaptive-learning,cipher,True,27,16052,91456,47985
2026-04-14T23:14:48,gemini-3-flash-preview,adaptive-learning,bitmixer,True,78,36025,285502,231280
2026-04-14T23:14:48,gemini-3-flash-preview,adaptive-learning,cipher,True,23,15007,1450728,1450728
2026-04-14T23:14:48,gemini-3-flash-preview,adaptive-learning,hash,True,23,8689,63619,47559
2026-04-14T23:14:48,gemini-3-flash-preview,adaptive-learning,maze,True,36,29641,145032,87659
2026-04-14T23:14:48,gemini-3-flash-preview,adaptive-learning,sys32,True,18,6928,55795,55795
2026-04-15T00:39:18,gemini-3-flash-preview,adaptive-learning,bitmixer,True,25,16406,120528,73245
2026-04-15T00:39:18,gemini-3-flash-preview,adaptive-learning,cipher,True,39,17846,137375,119927
2026-04-15T00:39:18,gemini-3-flash-preview,adaptive-learning,hash,True,28,9175,77590,47208
2026-04-15T00:39:18,gemini-3-flash-preview,adaptive-learning,maze,True,96,77838,619801,262543
2026-04-15T00:39:18,gemini-3-flash-preview,adaptive-learning,sys32,True,18,7684,48244,48244
2026-04-15T01:58:56,gemini-3-flash-preview,adaptive-learning,bitmixer,True,27,18372,113639,77227
2026-04-15T01:58:56,gemini-3-flash-preview,adaptive-learning,cipher,True,16,9721,47685,45255
2026-04-15T01:58:56,gemini-3-flash-preview,adaptive-learning,hash,True,112,48327,419825,272499
2026-04-15T01:58:56,gemini-3-flash-preview,adaptive-learning,maze,True,119,67480,650065,367413
2026-04-15T01:58:56,gemini-3-flash-preview,adaptive-learning,sys32,True,25,11784,87627,64313
