model,give_up,read_file,run,update_file,write_file
anthropic/claude-haiku-4-5@20251001,0,20,158,1,29
anthropic/claude-opus-4-6@default,0,5,124,6,42
anthropic/claude-sonnet-4-6@default,0,15,155,3,30
claude-opus-4-7,0,3,64,9,5
deepseek-ai/deepseek-v3.2,0,28,106,12,42
gemini-2.5-flash,0,4,116,10,17
gemini-3-flash-preview,0,12,753,112,167
gemini-3.1-flash-lite-preview,5,0,197,0,1
gemini-3.1-pro-preview,0,0,82,0,13
gemma-4-31b,0,9,573,64,154
gpt-5.4-2026-03-05,9,65,597,24,59
gpt-5.4-mini-2026-03-17,7,6,199,0,17
zai/glm-5,0,26,302,28,168
